M X: -1268, Y: -3644, Z:230 11:45:09
M X: -1578, Y: -3566, Z:531 11:45:09
M X: -1272, Y: -3862, Z:525 11:45:09
M X: -1272, Y: -3844, Z:563 11:45:09
M X: -1544, Y: -3860, Z:526 11:45:09
M X: -1246, Y: -3572, Z:251 11:45:09
M X: -1548, Y: -3852, Z:210 11:45:09
M X: -1266, Y: -3870, Z:544 11:45:09
M X: -1580, Y: -3864, Z:514 11:45:09
M X: -1538, Y: -3880, Z:220 11:45:09
M X: -1272, Y: -3912, Z:516 11:45:09
M X: -1600, Y: -3912, Z:541 11:45:09
M X: -1602, Y: -3870, Z:549 11:45:09
M X: -1542, Y: -3886, Z:528 11:45:09
M X: -1272, Y: -3860, Z:527 11:45:09
M X: -1264, Y: -3874, Z:228 11:45:09
M X: -1252, Y: -3872, Z:229 11:45:09
M X: -1540, Y: -3866, Z:542 11:45:09
M X: -1572, Y: -3890, Z:221 11:45:09
M X: -1564, Y: -3572, Z:547 11:45:09
M X: -1560, Y: -3870, Z:244 11:45:09
M X: -1574, Y: -3890, Z:533 11:45:09
M X: -1548, Y: -3910, Z:551 11:45:09
M X: -1254, Y: -3848, Z:226 11:45:09
M X: -1262, Y: -3842, Z:252 11:45:09
M X: -1568, Y: -3854, Z:562 11:45:09
M X: -1266, Y: -3570, Z:524 11:45:09
M X: -1266, Y: -3882, Z:247 11:45:09
M X: -1278, Y: -3856, Z:536 11:45:09
M X: -1274, Y: -3880, Z:177 11:45:09
M X: -1538, Y: -3864, Z:515 11:45:09
M X: -1278, Y: -3896, Z:555 11:45:09
M X: -1278, Y: -3908, Z:564 11:45:09
M X: -1580, Y: -3882, Z:582 11:45:09
M X: -1540, Y: -3868, Z:223 11:45:09
M X: -1540, Y: -3858, Z:563 11:45:09
M X: -1560, Y: -3902, Z:249 11:45:09
M X: -1270, Y: -3874, Z:521 11:45:09
M X: -1274, Y: -3864, Z:535 11:45:09
M X: -1582, Y: -3938, Z:599 11:45:09
M X: -1582, Y: -3878, Z:525 11:45:09
M X: -1278, Y: -3580, Z:237 11:45:09
M X: -1548, Y: -3868, Z:521 11:45:09
M X: -1562, Y: -3862, Z:619 11:45:09
M X: -1554, Y: -3884, Z:517 11:45:09
M X: -1280, Y: -3902, Z:564 11:45:09
M X: -1542, Y: -3884, Z:540 11:45:09
M X: -1550, Y: -3854, Z:246 11:45:09
M X: -1572, Y: -3886, Z:529 11:45:09
M X: -1566, Y: -3874, Z:186 11:45:09
M X: -1576, Y: -3880, Z:175 11:45:09
M X: -1550, Y: -3864, Z:251 11:45:09
M X: -1570, Y: -3904, Z:247 11:45:09
M X: -1592, Y: -3872, Z:251 11:45:09
M X: -1548, Y: -3886, Z:530 11:45:09
M X: -1562, Y: -3886, Z:512 11:45:09
M X: -1564, Y: -3890, Z:542 11:45:09
M X: -1628, Y: -3884, Z:534 11:45:09
M X: -1546, Y: -3570, Z:521 11:45:09
M X: -1548, Y: -3852, Z:237 11:45:09
M X: -1558, Y: -3848, Z:515 11:45:09
M X: -1280, Y: -3844, Z:251 11:45:09
M X: -1550, Y: -3872, Z:251 11:45:09
M X: -1542, Y: -3904, Z:196 11:45:09
M X: -1540, Y: -3904, Z:515 11:45:09
M X: -1276, Y: -3898, Z:517 11:45:09
M X: -1276, Y: -3896, Z:548 11:45:09
M X: -1276, Y: -3844, Z:528 11:45:09
M X: -1612, Y: -3878, Z:239 11:45:09
M X: -1568, Y: -3862, Z:520 11:45:09
M X: -1598, Y: -3882, Z:538 11:45:09
M X: -1572, Y: -3888, Z:215 11:45:09
M X: -1542, Y: -3922, Z:240 11:45:09
M X: -1580, Y: -3874, Z:210 11:45:09
M X: -1542, Y: -3888, Z:245 11:45:09
M X: -1280, Y: -3874, Z:536 11:45:09
M X: -1570, Y: -3878, Z:528 11:45:09
M X: -1564, Y: -3884, Z:233 11:45:09
M X: -1584, Y: -3860, Z:558 11:45:09
M X: -1570, Y: -3904, Z:541 11:45:09
M X: -1576, Y: -3908, Z:255 11:45:09
M X: -1556, Y: -3892, Z:253 11:45:09
M X: -1550, Y: -3892, Z:590 11:45:09
M X: -1560, Y: -3868, Z:526 11:45:09
M X: -1582, Y: -3950, Z:554 11:45:09
M X: -1568, Y: -3884, Z:578 11:45:09
M X: -1280, Y: -3870, Z:202 11:45:09
M X: -1268, Y: -3896, Z:236 11:45:09
M X: -1260, Y: -3902, Z:543 11:45:09
M X: -1624, Y: -3894, Z:537 11:45:09
M X: -1584, Y: -3892, Z:234 11:45:09
M X: -1552, Y: -3890, Z:520 11:45:09
M X: -1574, Y: -3852, Z:527 11:45:09
M X: -1254, Y: -3860, Z:223 11:45:09
M X: -1550, Y: -3580, Z:203 11:45:09
M X: -1554, Y: -3886, Z:241 11:45:09
M X: -1256, Y: -3872, Z:544 11:45:09
M X: -1548, Y: -3884, Z:225 11:45:09
M X: -1546, Y: -3854, Z:555 11:45:09
M X: -1558, Y: -3882, Z:567 11:45:09
M X: -1264, Y: -3930, Z:543 11:45:09
M X: -1264, Y: -3954, Z:245 11:45:09
M X: -1252, Y: -3950, Z:525 11:45:09
M X: -1272, Y: -3884, Z:517 11:45:09
M X: -1272, Y: -3876, Z:158 11:45:09
M X: -1274, Y: -3574, Z:215 11:45:09
M X: -1260, Y: -3868, Z:253 11:45:09
M X: -1226, Y: -3878, Z:210 11:45:09
M X: -1262, Y: -3904, Z:248 11:45:09
M X: -1552, Y: -3910, Z:234 11:45:09
M X: -1254, Y: -3864, Z:245 11:45:09
M X: -1282, Y: -3892, Z:232 11:45:09
M X: -1262, Y: -3576, Z:241 11:45:09
M X: -1548, Y: -3876, Z:570 11:45:09
M X: -1250, Y: -3582, Z:182 11:45:09
M X: -1562, Y: -3898, Z:538 11:45:09
M X: -1548, Y: -3848, Z:213 11:45:09
M X: -1240, Y: -3924, Z:221 11:45:09
M X: -1272, Y: -3886, Z:209 11:45:09
M X: -1550, Y: -3884, Z:178 11:45:09
M X: -1268, Y: -3882, Z:235 11:45:09
M X: -1574, Y: -3886, Z:538 11:45:09
M X: -1600, Y: -3886, Z:213 11:45:09
M X: -1568, Y: -3920, Z:217 11:45:09
M X: -1580, Y: -3562, Z:517 11:45:09
M X: -1272, Y: -3896, Z:519 11:45:09
M X: -1562, Y: -3886, Z:537 11:45:09
M X: -1248, Y: -3918, Z:223 11:45:09
M X: -1278, Y: -3858, Z:190 11:45:09
M X: -1562, Y: -3892, Z:233 11:45:09
M X: -1274, Y: -3926, Z:231 11:45:09
M X: -1546, Y: -3880, Z:476 11:45:09
M X: -1538, Y: -3926, Z:527 11:45:09
M X: -1272, Y: -3888, Z:236 11:45:09
M X: -1562, Y: -3852, Z:230 11:45:09
M X: -1270, Y: -3896, Z:535 11:45:09
M X: -1562, Y: -3878, Z:249 11:45:09
M X: -1546, Y: -3860, Z:253 11:45:09
M X: -1262, Y: -3582, Z:249 11:45:09
M X: -1258, Y: -3894, Z:528 11:45:09
